first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Elizabeth Ware,Michael Fowler,trevor20@example.com,161,4,30.04,18/03/2016,94772 Kristen Plaza Apt. 059,Kendraview,6437251,"Conservator, museum/gallery"
Paul Aguilar,Jon Owens,emilysanchez@example.org,114,6,8.25,04/09/1988,94654 Keith Point,Adamston,48003155,Heritage manager
Chris Hendrix,Jose Hill,ejones@example.net,128,1,51.47,03/10/2009,0849 Madeline Unions,New Amandabury,55845083,Chartered management accountant
Patty Delacruz,Andrea Gibbs,jcain@example.com,195,7,53.81,24/08/2013,309 Amy Center Apt. 073,East Ann,14192920,"Development worker, international aid"
Brian Hernandez,Jonathan Contreras,donnaweaver@example.org,152,3,39.98,20/11/1979,4312 Williams Falls,Garymouth,9119031,Dramatherapist
Sarah Bradley,Patrick Fleming,hreese@example.net,110,5,6.96,28/07/1970,01254 Richard Fields,South Courtney,88343587,"Exhibitions officer, museum/gallery"
Shawn Moore Jr.,Scott Bryan,zyoung@example.org,171,4,93.37,30/12/2009,716 Whitney Union Suite 332,East Sarah,177818,Psychotherapist
Jennifer Sanchez,Tonya Hill,umarks@example.net,177,7,6.27,25/08/1971,92391 Troy Flats Apt. 765,Rodriguezmouth,6100179,Fitness centre manager
Kevin Knight,James Flores,jeffreyhobbs@example.org,193,9,82.08,02/10/1971,9926 Bruce Lake,Pratthaven,66080251,Translator
Lindsey Morris,Paul Ortiz,steven88@example.net,154,1,53.39,03/02/1975,34516 Murray Meadows Suite 416,Burgessshire,27329429,Fisheries officer
