first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Wendy Love,Michael Sanchez,obates@example.com,123,2,7.09,20/10/1999,25783 Brian Plaza,Gomezburgh,7396045,Chartered loss adjuster
Timothy Baker,Patrick Bailey,lcrawford@example.net,140,4,77.3,11/03/1994,90435 Jason Mills,Hoodchester,77562388,Government social research officer
Karen Floyd,Timothy Curtis DDS,shelby52@example.org,133,6,7.4,10/07/2016,2702 Lisa Plaza Apt. 887,Lake Michaelchester,772105,"Editor, commissioning"
Jessica Sanders,Carol Dominguez,justinbraun@example.org,160,1,5.71,01/03/1973,419 Jason Ways,New George,27040546,IT sales professional
Robert Martin,Amy Jensen,luissanchez@example.net,157,4,12.06,10/05/2012,9252 Thomas Green Suite 670,West Robert,93277563,Chartered certified accountant
Brandon Church,Ryan Nielsen,jessica89@example.net,189,9,74.54,21/02/2001,8803 Escobar Mountain Suite 709,Weaverborough,42556787,"Psychologist, prison and probation services"
Dana Coleman,Alexandria Jensen,chandlerdaniel@example.org,102,1,81.26,23/01/1973,381 Ferrell Via Apt. 912,Michaelside,60165879,"Engineer, agricultural"
Derek Brown,Kelly Lowery,websternicholas@example.net,131,4,73.35,28/11/2004,8605 Rodney Mills,South Nathan,5488605,Secondary school teacher
Bethany Martin,Tina Jackson,mcdonaldcolleen@example.org,108,5,96.51,13/12/1997,08472 Ann Groves,Harrisport,22584977,Licensed conveyancer
Sheila Powers,Bonnie Mills,luisgomez@example.org,115,9,88.05,04/11/2012,05365 Wanda Ramp Suite 659,New Cynthia,31478175,"Scientist, biomedical"
