first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
David Finley,Gabrielle Castro,nzhang@example.com,105,4,58.11,26/12/2013,358 Fitzgerald Lights,West Zoeport,81261871,"Designer, textile"
Nicole Mills,Michael Berger,veronica87@example.org,151,1,48.76,27/07/1976,4787 Foley Islands,Andrewstad,68360825,"Engineer, manufacturing"
Melanie Rogers,Nancy Dalton,kimberly19@example.net,165,5,68.3,11/09/2013,572 Ashley Row Suite 664,New Juliechester,18709490,Academic librarian
Kimberly Pratt,Mr. Richard Fox,edward10@example.net,162,7,62.36,14/04/2016,254 Donald Isle,East Rebeccaview,80411024,Financial risk analyst
Rebecca Bennett,Joyce Moore,nathansmith@example.com,153,9,93.58,07/08/2015,76387 Kelly Place,Briantown,17279109,Science writer
Maria Rivera,Benjamin Owens,brownkaren@example.org,186,9,97.64,07/12/2020,969 Morgan Fords,Ronaldmouth,59275015,Minerals surveyor
Anita Wilson,Sara Hurst,robertthompson@example.org,163,5,40.29,30/10/1975,97673 Colleen Parkways Suite 248,Hensonchester,4903680,"Surveyor, planning and development"
Richard Miller,Nathaniel Adams,arodriguez@example.com,170,5,68.84,04/08/1990,637 Erickson Loaf Suite 355,East Robertmouth,17622806,Community development worker
Angela Adams,Jessica Schmidt,zgilbert@example.org,106,4,31.68,27/09/2021,0177 Sarah Isle Suite 068,Williamshaven,40989044,Pathologist
Jasmine Bailey,David Young,misty69@example.org,192,5,61.73,28/09/1996,21258 Rebecca Rue,North Nathan,70699968,"Psychotherapist, dance movement"
