first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Charles Chen,Toni Willis,michelle74@example.org,184,4,28.3,24/12/1986,0683 Gregory Port,North Andrewfurt,62452618,"Teacher, English as a foreign language"
Jason Pierce,Brittney Anderson,cummingsrenee@example.com,106,1,96.32,27/11/1980,8451 Johnny Roads Apt. 067,New Jeffrey,52805974,"Editor, film/video"
Gregory Lynch,Anthony Alvarez,pmatthews@example.net,191,3,83.0,10/07/1976,28590 Riley Turnpike Apt. 451,Zacharyberg,36073276,Management consultant
Charles Trujillo,Maria Smith,matthew41@example.net,147,9,58.89,19/06/1983,143 Deborah Shore Apt. 048,North Carlville,39935366,"Editor, film/video"
Ana Jones,Carrie Stanley,castilloisaac@example.com,191,1,76.34,24/05/1992,3830 Aguilar Vista Suite 185,New Deborah,34618455,Analytical chemist
Ronald Obrien,Tammie Rice,lauren73@example.net,143,1,77.98,21/05/2012,5952 Christopher Place Apt. 226,Andersonside,84489029,Technical sales engineer
Jessica Jones,Jose Barajas,lacey51@example.org,144,1,77.6,08/04/2009,196 Hannah Trace,Ericburgh,52839917,Medical technical officer
Patricia George,Jessica Smith DDS,jennifer43@example.org,111,8,8.9,12/01/2014,91770 Carmen Point,Josemouth,46790668,"Conservator, furniture"
Kathleen Rodriguez,Brittany Johnson,weaverkaren@example.net,100,3,26.98,02/01/1980,4642 Bird Extension Apt. 107,Micheleside,65705971,Training and development officer
Kathy Weaver,Sarah Koch,vcruz@example.com,178,7,20.83,03/03/1989,19849 Parks Well,Lake Neilmouth,29838448,Dietitian
