first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
David Ryan DDS,Kathleen Thompson,lewisleah@example.org,133,8,48.71,02/02/1980,412 Fernandez Isle,West Angela,39116116,Race relations officer
Robert Collins,James Chavez,thomaslinda@example.com,103,1,44.2,16/08/2003,1069 Collins Brook,Teresaland,95264592,Automotive engineer
Victoria Khan,Susan Henderson,mendozareginald@example.net,122,1,50.24,22/12/1973,64669 Smith Locks,Richardmouth,23921931,Mining engineer
Chris Bowman,Matthew Johnson,carolynbarr@example.com,177,2,55.55,13/07/1981,6498 Wilson Prairie,Paigeside,6311834,Chartered public finance accountant
Melissa Floyd,Kristopher Smith,cynthia72@example.org,189,6,48.04,13/08/1978,219 Ashley Shoal,Heiditon,2175768,Heritage manager
Christine Alvarez,Ronald Olson,peterscathy@example.org,138,9,30.29,24/03/1976,57591 David Loaf,New Bethany,9975538,Personnel officer
William Baldwin,Michael Ho,dburns@example.org,164,8,17.93,19/04/2008,5732 Tate Locks Suite 962,Rodgershaven,36106301,Astronomer
Randy Saunders,Bradley Sanders,sextonamy@example.net,122,5,95.53,23/03/1989,7513 Hardy Plaza,Karenberg,55852555,Publishing rights manager
Cory Nicholson,Charles Warren,taylorjohn@example.net,134,6,64.9,04/08/1988,8357 Mcpherson Course Apt. 226,Hayesfurt,54104358,"Therapist, music"
Wendy Jackson,Carrie Moore,richardlopez@example.org,189,3,36.5,14/02/2014,495 Ashley Neck Suite 132,Wigginsmouth,12011087,"Designer, ceramics/pottery"
