first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Scott Soto,Melody Barnes,nhenderson@example.org,139,2,23.5,08/06/2002,730 Le Bridge Suite 933,East Jason,35282563,Actuary
Miranda Beck,Jennifer Williams,sschroeder@example.com,117,9,30.29,25/11/1986,584 Charles Land,South Rick,94015607,Museum education officer
Julia Price,Margaret Clark,rachel23@example.net,132,9,98.09,04/03/2001,339 Kennedy Vista,Ericside,38629150,Location manager
Diana Gonzales,Kevin Adams,nelsonerika@example.net,129,2,41.72,14/06/1976,1023 Willie Crest,Anthonyfurt,14317170,Restaurant manager
Jonathan Landry,Rick Gibbs,donna70@example.com,174,7,83.85,22/02/2021,313 Billy Mission,North Brittney,8578853,Claims inspector/assessor
Nathan Barrett,Laurie Fuller,sharon03@example.com,178,5,67.05,02/05/1983,01653 Timothy Pine,Port Diamond,28460657,Psychotherapist
Joy Brown,Courtney Ross,fgutierrez@example.com,149,3,53.78,16/12/1972,84029 Glover Mission Suite 095,Matthewstad,15398079,Retail merchandiser
Courtney Patterson,Robert Melton,adamsedward@example.com,109,4,46.65,03/06/1989,686 Crawford Road,Lake Wendy,56624021,Chief Financial Officer
Jerry Morales,David Stout,wallseric@example.com,195,3,21.94,03/09/1971,10539 Hancock Gateway Apt. 397,Mckeetown,69207433,Prison officer
Christopher Petersen,Brittany Johnson,ymaldonado@example.org,168,6,97.48,21/05/1998,6561 Hernandez Crossroad,Malonemouth,95592466,"Editor, commissioning"
