first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Debbie Gross,Kristi Simon,lmcdonald@example.net,118,4,69.69,09/10/2002,23829 Duarte Loop Suite 424,Hickmanhaven,34646045,Sports development officer
Thomas Tate,Cindy Simmons,tammy29@example.org,147,9,74.19,25/06/2019,194 Barry Forks Suite 119,East Joshua,70628425,"Engineer, chemical"
Allison Mcknight,Zachary Lucero,shari20@example.net,127,1,70.57,13/11/1980,2263 Ramos Way,North Amber,55991551,Financial risk analyst
Sarah Johnson,Daniel Valdez,tracyflores@example.net,185,7,89.63,13/03/1991,063 Ruth Cape,Peckside,33353487,Ergonomist
Joseph Parker,Gary Payne,karen52@example.com,150,1,44.95,27/04/2008,21424 Gilbert Common,Brucetown,70884265,Civil Service administrator
Patrick Holloway,Traci Knight,amy16@example.org,181,7,15.31,23/09/1993,08446 Vanessa Stream Suite 312,West Tracieville,60434982,Fast food restaurant manager
Raymond Choi,John Anderson,michellekennedy@example.org,199,9,32.54,05/09/1991,5378 Watts Oval,Wallaceville,81788057,Multimedia programmer
Elizabeth Medina,Jonathan Campbell,mackenzie56@example.com,181,8,21.32,02/12/1984,1423 Castillo Haven,Charlestown,11642220,Information officer
Kevin Johnson,Colton Johnson,kimberly75@example.net,169,7,14.44,10/10/1987,18945 Johnson Glens,Stanleyborough,29244072,Regulatory affairs officer
Lori Hamilton,Danny Gaines,sheriramos@example.net,120,7,54.95,28/04/1978,55984 Sarah Rapids Suite 136,Port Hannah,76516740,Advertising account executive
