first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Carmen Nixon,Todd Anderson,marvinjackson@example.com,133,9,14.57,10/09/1982,283 Wendy Common,West Alexander,36239634,Logistics and distribution manager
Mrs. Heather Miller,Julia Moore,jeffrey84@example.net,155,5,65.48,03/10/2012,13567 Patricia Circles Apt. 751,Andreamouth,2820163,Osteopath
Crystal May,Philip Moody,ugoodman@example.com,151,9,24.66,23/03/1976,6389 Debbie Island Suite 470,Coxbury,27006726,Economist
Bobby Weber,Mark Scott,ssanchez@example.com,143,4,21.34,17/08/1986,6362 Ashley Plaza Apt. 994,Ninaland,83036521,Sports administrator
Kristen Welch,David David,cynthia66@example.net,168,2,83.9,11/06/1996,463 Steven Cliffs Suite 757,Isaiahview,80142652,Chief Marketing Officer
Jamie Garcia,Jonathan Tate,luis57@example.net,192,6,55.67,01/09/2016,54443 Kyle Haven Apt. 230,Millsside,53234087,"Therapist, sports"
Amanda Hicks,Stephanie Huff,hendersontracey@example.org,153,4,77.57,17/04/1993,5600 Hannah Vista,Port Susan,30928602,Special educational needs teacher
James Parker,Dustin Hanson Jr.,ffowler@example.net,107,3,86.5,27/09/1986,9076 Garrett Well,New Heatherfort,45734816,Textile designer
Susan Smith,Michael Campbell,thomaspatricia@example.net,149,1,53.73,01/11/1997,1684 John Circles,South Kim,13834685,Psychiatrist
Kylie Campos,Samantha Mendez,danny61@example.com,108,5,91.71,23/03/1994,15898 Jeanne Inlet Suite 973,West Patricia,92548268,Radio broadcast assistant
