first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Stacie Rosales,Dennis Richardson,theresa74@example.net,118,3,70.1,27/01/1983,622 Alvarado Corners Suite 762,Bridgethaven,92318137,Paramedic
Daniel Robinson,Anthony Morrow,brichardson@example.org,103,4,10.92,05/03/2000,73246 Chase Streets,West Kathryn,95596877,Environmental manager
Peter Bentley,Benjamin Chang,jamie82@example.com,137,7,77.79,28/02/2000,6656 Alexis Lock Suite 344,New Anna,54751453,Make
Jennifer Leblanc,Cathy Salazar,meganhubbard@example.com,185,1,45.92,15/06/2018,30262 Patterson Mall,Burgessstad,29738748,"Producer, radio"
Heather Solomon,Michael Russell,crystalgrant@example.com,152,7,18.74,25/05/1981,49673 Salinas Square,New Charleshaven,58560372,Arboriculturist
Troy Brown,Angela Hoffman,lnunez@example.com,164,6,74.53,23/06/1984,52410 Andrade Fields,Jenniferstad,94859461,Amenity horticulturist
Malik Rodriguez,Kelly Leach,vcook@example.com,177,8,96.91,07/05/2002,666 Lowe Square,Gabrielaberg,71802916,"Nurse, adult"
Jennifer Sanchez,Samuel Lee,ashley86@example.org,171,9,54.26,30/11/2012,7905 Duncan Ranch Apt. 950,Edwardsport,66481652,Ranger/warden
Melinda Mullins,Thomas Thomas,pking@example.org,102,6,81.38,22/01/2021,13958 Daniel Cliffs Suite 354,Lake Nicholas,4409151,"Engineer, mining"
Patrick Greene,Grant Tyler,peter18@example.com,184,8,64.5,31/01/1978,006 Erin Islands,Scottburgh,84752888,Forensic psychologist
